kind,query,value_label,extracted_value,link
top,capcut ai,100,100,https://trends.google.com/trends/explore?q=capcut+ai&geo={{region}}
top,ai subtitle generator,74,74,https://trends.google.com/trends/explore?q=ai+subtitle+generator&geo={{region}}
top,youtube shorts ai,61,61,https://trends.google.com/trends/explore?q=youtube+shorts+ai&geo={{region}}
top,faceless video ai,59,59,https://trends.google.com/trends/explore?q=faceless+video+ai&geo={{region}}
top,chatgpt script prompt,57,57,https://trends.google.com/trends/explore?q=chatgpt+script+prompt&geo={{region}}
top,instagram reels ai,52,52,https://trends.google.com/trends/explore?q=instagram+reels+ai&geo={{region}}
top,canva ai video,47,47,https://trends.google.com/trends/explore?q=canva+ai+video&geo={{region}}
top,viral hook generator,42,42,https://trends.google.com/trends/explore?q=viral+hook+generator&geo={{region}}
top,ai thumbnail maker,39,39,https://trends.google.com/trends/explore?q=ai+thumbnail+maker&geo={{region}}
top,auto edit short video,37,37,https://trends.google.com/trends/explore?q=auto+edit+short+video&geo={{region}}
top,tiktok ai voice,35,35,https://trends.google.com/trends/explore?q=tiktok+ai+voice&geo={{region}}
top,ugc ad script ai,33,33,https://trends.google.com/trends/explore?q=ugc+ad+script+ai&geo={{region}}
rising,{{keyword}},Breakout,320000,https://trends.google.com/trends/explore?q={{keyword_plus}}&geo={{region}}
rising,faceless video ai,Breakout,286000,https://trends.google.com/trends/explore?q=faceless+video+ai&geo={{region}}
rising,ai prompt for reels,+430%,430,https://trends.google.com/trends/explore?q=ai+prompt+for+reels&geo={{region}}
rising,auto edit short video,+290%,290,https://trends.google.com/trends/explore?q=auto+edit+short+video&geo={{region}}
rising,chatgpt script prompt,+260%,260,https://trends.google.com/trends/explore?q=chatgpt+script+prompt&geo={{region}}
rising,shorts automation,+240%,240,https://trends.google.com/trends/explore?q=shorts+automation&geo={{region}}
rising,creator workflow ai,+225%,225,https://trends.google.com/trends/explore?q=creator+workflow+ai&geo={{region}}
rising,ai subtitle generator,+210%,210,https://trends.google.com/trends/explore?q=ai+subtitle+generator&geo={{region}}
rising,hook generator for shorts,+185%,185,https://trends.google.com/trends/explore?q=hook+generator+for+shorts&geo={{region}}
rising,canva ai video,+170%,170,https://trends.google.com/trends/explore?q=canva+ai+video&geo={{region}}
rising,instagram reels ai,+150%,150,https://trends.google.com/trends/explore?q=instagram+reels+ai&geo={{region}}
rising,youtube automation ai,+145%,145,https://trends.google.com/trends/explore?q=youtube+automation+ai&geo={{region}}
rising,faceless shorts script,+136%,136,https://trends.google.com/trends/explore?q=faceless+shorts+script&geo={{region}}
rising,ai editing workflow,+122%,122,https://trends.google.com/trends/explore?q=ai+editing+workflow&geo={{region}}
rising,retention hook prompt,+118%,118,https://trends.google.com/trends/explore?q=retention+hook+prompt&geo={{region}}
