query,start_timestamp,end_timestamp,active,search_volume,increase_percentage,category_ids,category_names,trend_breakdown,serpapi_google_trends_link
{{keyword}},1775718000,,true,42000,320,18,Technology,capcut ai|ai subtitle generator|faceless shorts|youtube shorts ai,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q={{keyword_plus}}
capcut ai,1775721600,,true,31000,270,18,Technology,capcut ai tools|capcut auto caption|capcut ai avatar,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=capcut+ai
youtube shorts ai,1775725200,,true,18000,210,18|3,Technology|Business and Finance,shorts automation|ai shorts script|faceless content,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=youtube+shorts+ai
ai subtitle generator,1775728800,,true,15500,190,18,Technology,auto captions|subtitle style presets|viral subtitles,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=ai+subtitle+generator
faceless video ai,1775732400,,true,14900,240,18|4,Technology|Entertainment,faceless channel|b-roll automation|story voiceover,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=faceless+video+ai
shorts automation,1775736000,,true,13800,175,18|3,Technology|Business and Finance,ai scheduling|content pipeline|bulk publishing,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=shorts+automation
chatgpt script prompt,1775739600,,true,12200,160,18|9,Technology|Jobs and Education,script prompt|hook generator|call to action,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=chatgpt+script+prompt
instagram reels ai,1775743200,,true,11700,145,18|4,Technology|Entertainment,reels editor|auto cuts|caption hooks,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=instagram+reels+ai
canva ai video,1775746800,,true,11000,132,18|16,Technology|Shopping,canva magic media|thumbnail maker|social templates,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=canva+ai+video
tiktok ai voice,1775750400,,true,9700,128,18|4,Technology|Entertainment,ai voiceover|story voice|tts tutorial,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=tiktok+ai+voice
ai thumbnail maker,1775754000,,true,9100,118,18|16,Technology|Shopping,thumbnail prompt|click through rate|cover design,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=ai+thumbnail+maker
ugc ad script ai,1775757600,,true,8600,109,18|3,Technology|Business and Finance,ugc creator|ad scripting|conversion hooks,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=ugc+ad+script+ai
viral hook generator,1775761200,,true,7900,96,18|4,Technology|Entertainment,hook ideas|retention curve|open loop,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=viral+hook+generator
edit talking head faster,1775764800,,true,6200,82,18,Technology,talking head editor|jump cut ai|silence remover,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=edit+talking+head+faster
ai prompt for reels,1775768400,,true,5800,77,18|4,Technology|Entertainment,reels prompt|trend adaptation|storyboard prompt,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=ai+prompt+for+reels
creator workflow ai,1775772000,,true,5400,73,18|3,Technology|Business and Finance,creator stack|workflow automation|repurposing,https://serpapi.com/search.json?engine=google_trends_trending_now&geo={{region}}&q=creator+workflow+ai
